implementation_id,surface,functional_area,route_method,route_path,route_file,handler,view_path,layout,device_support,screen_kind,state,auth_required,rbac_permissions,facility_scope,department_scope,reachable,reachability_evidence,partials,client_js,implementation_substance,notes
ACV7-IMPL-0001,PUBLIC,PUBLIC_PLATFORM,GET,/,src/activeclinic/http/activeClinicPublicRoutes.js,registerActiveClinicPublicRoutes,views/activeclinic/public/home.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,REACHABLE,GET / registered; platform header Home,partials/public-platform-header.ejs|partials/ac-mobile-bottom-nav-platform.ejs,public/activeclinic/ac-public.js,FUNCTIONAL,Public marketing home
ACV7-IMPL-0002,PUBLIC,PUBLIC_PLATFORM,GET,/about,src/activeclinic/http/activeClinicPublicRoutes.js,,views/activeclinic/public/about.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,REACHABLE,GET /about; header About link,partials/public-platform-header.ejs,public/activeclinic/ac-public.js,FUNCTIONAL,
ACV7-IMPL-0003,PUBLIC,PUBLIC_PLATFORM,GET,/solutions,src/activeclinic/http/activeClinicPublicRoutes.js,,views/activeclinic/public/solutions.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,REACHABLE,GET /solutions; header Solutions,partials/public-platform-header.ejs,public/activeclinic/ac-public.js,FUNCTIONAL,
ACV7-IMPL-0004,PUBLIC,DIRECTORY,GET,/clinics,src/activeclinic/http/activeClinicPublicRoutes.js,,views/activeclinic/public/clinics-directory.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,POPULATED,false,,false,,REACHABLE,GET /clinics; directoryState ready with clinics,partials/public-directory-filters.ejs|partials/public-directory-state.ejs|partials/ac-media.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,directoryState=ready when clinics present
ACV7-IMPL-0005,PUBLIC,DIRECTORY,GET,/clinics,src/activeclinic/http/activeClinicPublicRoutes.js,,views/activeclinic/public/clinics-directory.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,EMPTY_STATE,EMPTY,false,,false,,CONDITIONALLY_REACHABLE,Same route; empty clinic list via public-directory-state,partials/public-directory-state.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Empty directory when no publishable clinics
ACV7-IMPL-0006,PUBLIC,DIRECTORY,GET,/clinics,src/activeclinic/http/activeClinicPublicRoutes.js,,views/activeclinic/public/clinics-directory.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,LOADING_STATE,LOADING,false,,false,,CONDITIONALLY_REACHABLE,directoryState=loading via ?_directoryLoading=1 in NODE_ENV=test,partials/public-directory-state.ejs|partials/ac-loading-state.ejs,,FUNCTIONAL,Test-hook loading state; production may not expose query hook
ACV7-IMPL-0007,PUBLIC,DIRECTORY,GET,/clinics,src/activeclinic/http/activeClinicPublicRoutes.js,,views/activeclinic/public/clinics-directory.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,ERROR_STATE,ERROR,false,,false,,CONDITIONALLY_REACHABLE,directoryState=error on load failure or ?_directoryError=1 in test,partials/public-directory-state.ejs,,FUNCTIONAL,
ACV7-IMPL-0008,PUBLIC,DIRECTORY,GET,/clinics/search,src/activeclinic/http/activeClinicPublicRoutes.js,,views/activeclinic/public/clinics-search.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,REACHABLE,GET /clinics/search,partials/public-directory-filters.ejs|partials/public-directory-state.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Search results surface; supports empty/error via directoryState
ACV7-IMPL-0009,PUBLIC,CLINIC_REGISTRATION,GET,/register-clinic,src/activeclinic/http/activeClinicPublicRoutes.js,,views/activeclinic/public/register-clinic.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,REACHABLE,GET /register-clinic; header CTA,partials/phone-field.ejs,public/activeclinic/ac-public.js|public/activeclinic/ac-phone-field.js,FUNCTIONAL,Registration form
ACV7-IMPL-0010,PUBLIC,CLINIC_REGISTRATION,POST,/register-clinic,src/activeclinic/http/activeClinicPublicRoutes.js,,views/activeclinic/public/register-clinic.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,STATE_VARIANT,VALIDATION_ERROR,false,,false,,CONDITIONALLY_REACHABLE,POST validation re-renders form with errors,partials/phone-field.ejs,public/activeclinic/ac-phone-field.js,FUNCTIONAL,
