current_qualified,target_schema,proposed_target_name,owning_product,classification,primary_key_type,creating_migration,migration_complexity,v4_risk,v5_risk,may_discard,source_repo,note
"public._getpro_migrations","platform","schema_migrations","platform","shared","text","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.accounting_periods","getpro","accounting_periods","getpro","product-specific","integer_identity","036_accounting_periods.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.admin_field_agent_analytics_presets","getpro","admin_field_agent_analytics_presets","getpro","product-specific","integer_identity","027_field_agent_analytics_presets.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.admin_user_tenant_roles","platform","admin_user_tenant_roles","platform","shared","composite_or_named","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.admin_users","platform","admin_users","platform","shared","integer_identity","000_full_schema.sql","critical","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.callback_interests","getpro","callback_interests","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.categories","getpro","categories","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_announcement_attachments","blessboard","announcement_attachments","blessboard","product-specific","unknown","091_church_broadcast_announcement_enhancements.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_announcements","blessboard","announcements","blessboard","product-specific","integer_identity","055_church_member_portal.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_appointment_availability","blessboard","appointment_availability","blessboard","product-specific","unknown","116_church_growth_appointments_surveys.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_appointment_confidential_notes","blessboard","appointment_confidential_notes","blessboard","product-specific","unknown","116_church_growth_appointments_surveys.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_appointment_leave","blessboard","appointment_leave","blessboard","product-specific","unknown","116_church_growth_appointments_surveys.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_appointment_reminders","blessboard","appointment_reminders","blessboard","product-specific","unknown","116_church_growth_appointments_surveys.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_appointment_settings","blessboard","appointment_settings","blessboard","product-specific","unknown","116_church_growth_appointments_surveys.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_appointments","blessboard","appointments","blessboard","product-specific","unknown","116_church_growth_appointments_surveys.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_attendance_branch_rules","blessboard","attendance_branch_rules","blessboard","product-specific","unknown","114_church_growth_advanced_attendance.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_attendance_check_ins","blessboard","attendance_check_ins","blessboard","product-specific","unknown","112_church_foundation_attendance_check_ins.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_attendance_cross_branch_authorizations","blessboard","attendance_cross_branch_authorizations","blessboard","product-specific","unknown","114_church_growth_advanced_attendance.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_attendance_offline_queue","blessboard","attendance_offline_queue","blessboard","product-specific","unknown","114_church_growth_advanced_attendance.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_attendance_records","blessboard","attendance_records","blessboard","product-specific","integer_identity","049_church_core.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_attendance_service_sessions","blessboard","attendance_service_sessions","blessboard","product-specific","unknown","112_church_foundation_attendance_check_ins.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_audit_logs","blessboard","audit_logs","blessboard","product-specific","integer_identity","049_church_core.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_backup_verification_events","blessboard","backup_verification_events","blessboard","product-specific","unknown","108_church_backup_verification.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_billing_branch_snapshots","blessboard","billing_branch_snapshots","blessboard","product-specific","unknown","098_church_growth_billing.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_billing_credits","blessboard","billing_credits","blessboard","product-specific","unknown","098_church_growth_billing.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_billing_discounts","blessboard","billing_discounts","blessboard","product-specific","unknown","098_church_growth_billing.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_billing_invoices","blessboard","billing_invoices","blessboard","product-specific","unknown","098_church_growth_billing.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_billing_package_price_history","blessboard","billing_package_price_history","blessboard","product-specific","unknown","098_church_growth_billing.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_billing_periods","blessboard","billing_periods","blessboard","product-specific","unknown","098_church_growth_billing.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_billing_price_book","blessboard","billing_price_book","blessboard","product-specific","unknown","098_church_growth_billing.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_branch_admin_password_reset_requests","blessboard","branch_admin_password_reset_requests","blessboard","product-specific","unknown","083_church_branch_admin_password_reset_requests.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_branch_admins","blessboard","branch_admins","blessboard","product-specific","integer_identity","049_church_core.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_branch_website_content","blessboard","branch_website_content","blessboard","product-specific","integer_identity","058_church_website_content.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_branches","platform","branches","blessboard","shared","integer_identity","049_church_core.sql","critical","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro","lift to platform.branches"
"public.church_database_identity","platform","database_identity","platform","shared","integer","121_church_database_identity.sql","critical","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro","replace with platform.database_identity"
"public.church_departments","blessboard","departments","blessboard","product-specific","integer_identity","060_church_ministries_departments.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_discipleship_history","blessboard","discipleship_history","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_discipleship_milestones","blessboard","discipleship_milestones","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_discipleship_stages","blessboard","discipleship_stages","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_duty_roster","blessboard","duty_roster","blessboard","product-specific","integer_identity","061_church_duty_roster.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_event_check_ins","blessboard","event_check_ins","blessboard","product-specific","unknown","118_church_growth_advanced_events.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_event_feedback","blessboard","event_feedback","blessboard","product-specific","unknown","118_church_growth_advanced_events.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_event_form_questions","blessboard","event_form_questions","blessboard","product-specific","unknown","118_church_growth_advanced_events.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_event_registration_answers","blessboard","event_registration_answers","blessboard","product-specific","unknown","118_church_growth_advanced_events.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_event_registration_companions","blessboard","event_registration_companions","blessboard","product-specific","unknown","118_church_growth_advanced_events.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_event_registration_forms","blessboard","event_registration_forms","blessboard","product-specific","unknown","118_church_growth_advanced_events.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_event_registrations","blessboard","event_registrations","blessboard","product-specific","unknown","118_church_growth_advanced_events.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
